PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SortKey
MURe5,2k4r/1p4p1/p2Q1p1r/5Pp1/P2p4/4q2P/6K1/6RR b - - 3 41,h6h3 g1c1 e3c1 h1c1,1476,76,96,20769,advantage endgame short,https://lichess.org/HocUiGKQ/black#81,,1993824
1byqg,rn1q1rk1/pbp2ppp/1p2p3/8/2BPn3/2PQ1N2/P4PPP/R1B1R1K1 b - - 3 11,c7c5 e1e4 b7e4 d3e4,1470,75,94,13143,crushing middlegame short,https://lichess.org/WnBMsPgc/black#21,Reti_Opening Reti_Opening_Reti_Accepted,1235442
MOuWU,r5k1/2p2pp1/p2p1r2/1p1P4/4P1qp/1Q2RPBn/PP2N3/3R1K2 w - - 1 30,f1g2 h3f4 e2f4 g4g3,1667,74,95,14713,crushing deflection middlegame short,https://lichess.org/nd5efXhu#58,,1397735
bPK3s,r2qr1k1/pb3pb1/4pnpp/1pB1p3/5P2/2PP1N2/PP1N2PP/R2Q1RK1 w - - 1 16,f3e5 d8d5 d1e2 d5c5,1668,76,96,15029,advantage middlegame short,https://lichess.org/zgYUnmgB#30,Sicilian_Defense Sicilian_Defense_Old_Sicilian,1442784
5qMN1,r4r2/2p5/pq1p2k1/4p1b1/4P1n1/2B2N2/P3QPPP/2R1R1K1 w - - 0 26,f3g5 f8f2 e2g4 f2f4 g1h1 f4g4,1668,77,95,17452,advantage discoveredAttack kingsideAttack long middlegame sacrifice,https://lichess.org/LcXNaC1w#50,,1657940
BQk0J,7k/5p1p/p4p2/3NbR2/2p5/1P2Q2P/q5P1/7K w - - 0 44,b3c4 a2b1 e3g1 b1f5,1486,75,95,24377,advantage endgame fork short,https://lichess.org/EVXFjHJN#86,,2315815
Y4o5E,4r1k1/5q1p/2pbpprB/1p5Q/1P1P1PP1/2P1R3/8/4R2K b - - 0 32,f6f5 g4f5 f7f5 h5f5 e6f5 e3e8,1402,76,96,18629,crushing kingsideAttack long middlegame,https://lichess.org/mLPJHy5i/black#63,,1788384
lnKIe,6k1/5pp1/3rb2p/1QR5/8/1P4PP/P2q2BK/8 b - - 1 40,d2a2 b5b8 g8h7 b8d6,1554,78,96,15488,crushing endgame fork short,https://lichess.org/oPAf5X0O/black#79,,1486848
CQOOW,3R4/5kpp/p5q1/2b1p2r/2P2p2/1P3P1P/PB2Q1P1/7K w - - 1 33,d8d5 h5h3 g2h3 g6g1,1408,76,95,19142,endgame mate mateIn2 sacrifice short,https://lichess.org/fXIv7uX0#64,,1818490
ytwcN,3r4/5p1k/1p4qp/2p5/2Q5/2Pn1N1P/5PP1/3R2K1 w - - 7 39,c4b5 d3f4 f3h4 d8d1,1541,74,96,19583,crushing discoveredAttack endgame short,https://lichess.org/iEcU3SPt#76,,1879968
Q2pTm,3k3r/np5q/p2p4/3P4/3PNR2/PN6/1P4P1/5RK1 w - - 1 29,e4d6 h7h2 g1f2 h2f4,1553,73,97,22010,crushing interference middlegame short,https://lichess.org/jlgVjRrC#56,,2134970
sh8in,3rr1k1/1ppbqpp1/p1n4p/2P5/3PB3/P7/1BQ2PPP/R3R1K1 b - - 2 20,f7f5 e4d5 g8h7 e1e7,1381,75,96,24811,crushing discoveredAttack kingsideAttack middlegame short,https://lichess.org/WaPuACpz/black#39,,2381856
SfxjH,r4rk1/p2R2pp/2p5/1p3p2/1b2pP2/4B3/1PP3PP/2KR4 b - - 1 22,a7a5 c2c3 b4c3 b2c3,1689,77,95,15887,advantage endgame short trappedPiece,https://lichess.org/pMgUDOed/black#43,,1509265
HKxje,8/3R2p1/6kp/4b3/6K1/5R2/7r/8 w - - 12 47,f3a3 h6h5 g4f3 h2h3 f3e4 h3a3,1360,75,95,21421,crushing endgame long skewer,https://lichess.org/qLel0Pjr#92,,2034995
YAG22,1rb3k1/1p3rbR/p2q4/P1pP2B1/2B1pp1Q/8/1P4PP/R5K1 w - - 3 27,a1f1 g7d4 g1h1 f7h7,1429,76,94,16120,advantage discoveredAttack master middlegame short,https://lichess.org/qzNuIEMa#52,,1515280
95Bz9,5rk1/R4pp1/1p6/1P1p4/3P1Q2/3qPPPp/6bP/2R3K1 w - - 1 34,e3e4 d3d4 f4e3 d4e3,1293,74,95,17142,endgame master mate mateIn2 short,https://lichess.org/fouuxJXB#66,,1628490
NGSWR,4rr1k/2p1qp1p/p3nn2/1p2R3/8/N4P2/PPQ2P1P/5BRK b - - 5 27,f6d7 c2h7 h8h7 e5h5,1630,76,96,19255,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/7pWMs0hs/black#53,,1848480
iKKrD,r1bqk2r/p1p2ppp/2p5/2b5/1p2n3/3P3P/PPP2PP1/RNBQKB1R w KQkq - 0 9,d3e4 c5f2 e1e2 c8a6 e2f2 d8d1,1545,74,96,23149,attackingF2F7 crushing deflection long opening,https://lichess.org/J2aM4mvC#16,Russian_Game Russian_Game_Three_Knights_Game,2222304
kW4zX,r2qkbnr/pb1npppp/8/8/Q1pP4/4P3/5PPP/RNB1KBNR w KQkq - 2 9,a4c4 a8c8 c4b3 c8c1,1681,71,96,17448,advantage opening short skewer,https://lichess.org/kBerEMda#16,Queens_Gambit_Accepted Queens_Gambit_Accepted_Old_Variation,1675008
STro2,5b2/pbk4p/8/1pr1pN2/2p4P/P7/1P2BPr1/R2R1K2 b - - 0 27,c5d5 d1d5 b7d5 f5e3 g2h2 e3d5,1920,72,95,13280,advantage fork long middlegame,https://lichess.org/HLg9zh89/black#53,,1261600
8r4rc,r4rk1/pbp2ppp/1pnq4/8/3pn3/PP3NP1/1BP1PPBP/R1Q1R1K1 w - - 0 15,f3d4 c6d4 g2e4 b7e4 c1e3 d4c2,1226,75,95,13758,capturingDefender crushing long middlegame,https://lichess.org/LBGtcP8E#28,Hungarian_Opening Hungarian_Opening_Other_variations,1307010
VJEDB,2kr3r/pppqnpb1/6p1/3P3p/4P3/2N4P/PPPQB1P1/R3K2R w KQ - 1 15,e1c1 g7h6 d2h6 h8h6,1530,73,94,16235,crushing middlegame pin short,https://lichess.org/cUVQFOgO#28,Scandinavian_Defense Scandinavian_Defense_Modern_Variation,1526090
P6yL3,8/p4p2/7k/6pp/4q3/2Q1P1PK/PP3P1P/2Rr4 w - - 2 25,c1d1 g5g4 h3h4 e4e7 c3f6 e7f6,1542,77,95,14047,endgame long mate mateIn3,https://lichess.org/I1vXgYxk#48,,1334465
m7YsM,8/p2p1r1k/1p5p/5p1P/1P3Qp1/P4PK1/1Bq5/3R4 w - - 4 38,f4c1 f5f4 c1f4 f7f4,1270,74,94,15149,crushing endgame short,https://lichess.org/ncDjJOME#74,,1424006
rQ6jR,b1r5/5p1k/4p1p1/4P2p/1R1PP3/R1P1b1QP/4qNP1/N5K1 w - - 5 40,b4a4 e2e1 g1h2 e3f2 g3f2 e1f2,1370,78,94,14708,advantage deflection kingsideAttack long middlegame,https://lichess.org/iJXerEHE#78,,1382552
35PSg,r1b2rk1/pp1n2pp/2p2q2/3p4/3N4/2N2pP1/PPP2Q1P/2KR1B1R w - - 2 16,f1h3 f6h6 c1b1 h6h3,1491,75,96,16733,advantage fork middlegame short,https://lichess.org/gKgd9EQ2#30,Russian_Game Russian_Game_Cozio_Attack,1606368
VC5cS,r2q1k2/1p3ppQ/p3p3/3pP3/1P6/P1R5/5PPP/5bK1 b - - 0 22,d8g5 h7h8 f8e7 c3c7,1577,75,97,14103,endgame mate mateIn2 short,https://lichess.org/fyLffIbX/black#43,,1367991
HMZiO,r1b2k1r/pp3ppp/1qp2n2/2nP4/5P2/2N1QN2/PPP3PP/R3KB1R w KQ - 2 12,e1c1 c5b3 a2b3 b6e3,1349,75,96,22511,crushing discoveredAttack opening queensideAttack short,https://lichess.org/Qj8EvyGp#22,Lion_Defense Lion_Defense_Anti-Philidor,2161056
pX5No,6k1/R2n1pp1/2r4p/2Pbp3/8/P3P1P1/5P1P/2R3K1 b - - 0 33,c6c5 c1c5 d7c5 a7a5,1666,72,97,13679,crushing endgame short,https://lichess.org/0fBcEAqT/black#65,,1326863
pqhBP,r1b2rk1/1p1p4/p3p2p/4qPp1/1b6/2NQ4/PPP1N1PP/R4RK1 b - - 0 18,e6f5 d3c4 g8h7 c4b4,1366,74,94,19694,advantage fork middlegame short,https://lichess.org/T2jaIsbv/black#35,Sicilian_Defense Sicilian_Defense_Bowdler_Attack,1851236
2MA4A,3q2k1/1br4p/1r3pp1/1pPp4/1P6/3B1N1P/4QPK1/R7 b - - 1 36,b6a6 a1a6 b7a6 e2e6 c7f7 e6a6,1613,73,96,18440,crushing fork long middlegame,https://lichess.org/yRFtrM0L/black#71,,1770240
Q1COq,3r3k/p1p3p1/1p1qp3/6bp/3P1PBr/1Q2PP2/PP5P/R1B2RK1 w - - 0 21,b3e6 h4g4 e6g4 h5g4,1549,79,95,24640,advantage kingsideAttack middlegame short,https://lichess.org/SIlF4BQP#40,,2340800
faZAS,r5r1/p2pR1nk/bpp3pp/5P2/3B4/2P5/PP1K1P1P/6R1 b - - 0 24,a8e8 f5g6 h7h8 d4g7 g8g7 e7e8,1558,77,96,17877,crushing long middlegame,https://lichess.org/FYBtnKmc/black#47,,1716192
JxmGa,5rk1/pp3q2/2nb3p/2Np4/3P4/1Q2rPp1/PP3nP1/2R1RNK1 w - - 0 27,b3e3 f7h5 f1g3 d6g3,1733,75,96,13000,crushing master masterVsMaster middlegame short,https://lichess.org/ZVkFO1zj#52,,1248000
9dIzK,r2qkbnr/pQ3ppp/2p1b3/8/3p4/6P1/PPnKPPBP/RNB3NR b kq - 1 10,c2a1 g2c6 e6d7 c6d7 d8d7 b7a8,1476,76,97,19730,advantage long opening,https://lichess.org/d56ZqIU4/black#19,Hungarian_Opening Hungarian_Opening_Other_variations,1913810
yte93,2b1k3/p4p2/1q2pQp1/3pP3/P1pP4/1rP1P3/6P1/RN3K2 w - - 4 24,b1a3 b3a3 a1a3 b6b1 f1f2 b1b2 f2g3 b2a3,1376,74,93,14714,clearance crushing endgame fork sacrifice veryLong,https://lichess.org/CnxBKa7u#46,,1368402
T2JIR,1r3rk1/Q4qpp/1p6/2p3B1/3n4/8/PP3PPP/3RR1K1 w - - 0 21,e1e7 f7f2 g1h1 f2f1 d1f1 f8f1,1314,76,94,19411,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/sVZyaSf4#40,,1824634
xZ5sl,8/1p6/6p1/p1k2p1p/2P2P1P/P1K3P1/8/8 w - - 0 40,a3a4 b7b6 c3b3 c5d4,1489,73,95,21381,crushing endgame pawnEndgame quietMove short zugzwang,https://lichess.org/ECfWZBOB#78,,2031195
xVlWq,8/pp4pk/2p2p2/8/3PQ3/1Pq4P/P4r2/1K1R4 b - - 5 40,g7g6 e4h4 h7g7 h4f2,1520,76,95,25196,crushing endgame fork short,https://lichess.org/NAYI8Hto/black#79,,2393620
SQj7E,8/p7/2P2kp1/bPP4p/8/7P/4K1P1/8 b - - 0 52,f6e5 b5b6 a7b6 c6c7,1499,75,96,19207,advancedPawn bishopEndgame crushing endgame short,https://lichess.org/hlwe6EE2/black#103,,1843872
LoNwO,2k5/pp1n1Np1/2p1Q1p1/8/3P4/2P3q1/PP4Pr/1K1R4 b - - 0 24,g3g2 e6e8 c8c7 e8d8,1707,77,95,13360,endgame mate mateIn2 short,https://lichess.org/sMaCQf8y/black#47,,1269200
uKLh3,r4k2/pp3pR1/2p2n2/6QP/3p4/5B2/PPP2q2/1K2r1R1 w - - 4 29,g1e1 f2e1 g5c1 e1c1 b1c1 f8g7,1272,76,97,16269,crushing long middlegame queensideAttack,https://lichess.org/nnFUCvA7#56,,1578093
gt1ab,2B1k3/ppr2p2/3p2p1/4p3/4P3/3P2qQ/PPp5/R2K3R w - - 0 28,d1d2 g3f2 d2c1 f2f4 h3e3 f4e3,2095,82,91,146278,endgame long mate mateIn3,https://lichess.org/ckvTNyTx#54,,13311298
3odvQ,r3k2r/1pq2ppp/2n5/2bQPp2/5B2/P1N5/5PPP/R3R1K1 b kq - 0 18,c6d4 e5e6 c7c6 e6f7,1391,75,92,17312,advancedPawn attackingF2F7 crushing doubleCheck master middlegame short,https://lichess.org/02xJeTRy/black#35,Alekhine_Defense Alekhine_Defense_Brooklyn_Variation,1592704
QVcQC,r1b1k3/1p3n2/pq2p3/3p4/6p1/P1N3P1/1PP1Q2K/R6R w q - 0 25,e2g4 b6f2 h2h3 e6e5 g4c8 a8c8,1340,74,96,20317,crushing long middlegame pin quietMove,https://lichess.org/lf9lBBtg#48,,1950432
yzAXL,2r2rk1/p2q2pp/1p2bp2/2p1n3/2Pp1P2/3P2P1/PP1B2BP/R2QR1K1 b - - 0 19,e5d3 e1e6 d7e6 g2d5 e6d5 c4d5,1342,74,95,20256,advantage long middlegame pin sacrifice,https://lichess.org/tnjXmkxI/black#37,Kings_Indian_Attack Kings_Indian_Attack_Sicilian_Variation,1924320
KPYpY,r1bnr1k1/ppppbpp1/5n1p/1P1N4/2B5/P4N2/2P2PPP/R1B1R1K1 b - - 2 15,e7d6 d5f6 g7f6 e1e8,1296,75,95,18190,crushing kingsideAttack opening short,https://lichess.org/B4sWrblP/black#29,Nimzowitsch_Defense Nimzowitsch_Defense_Kennedy_Variation,1728050
cFxiK,8/2nk3p/2pn4/2Qb4/5P2/P5K1/3R1PPP/8 w - - 1 37,a3a4 d6e4 g3f3 e4c5,1260,75,95,17319,advantage discoveredAttack endgame fork short,https://lichess.org/XcS3PtJy#72,,1645305
xLmjE,2r2rk1/p1qbpp2/3p2pp/2p5/1P2P3/1BQ3R1/P1P2PPP/5RK1 b - - 1 18,c5b4 g3g6 g8h7 c3g7,1389,76,97,16815,kingsideAttack mate mateIn2 middlegame pin short,https://lichess.org/JPdfaoq0/black#35,Sicilian_Defense Sicilian_Defense_Dragon_Variation,1631055
9FxX2,rnbqkb1r/pp3ppp/2pp4/1B1P4/3Q4/5N2/PPP2PPP/R1B1K2R w KQkq - 0 9,d5c6 d8a5 c1d2 a5b5,1456,76,95,25393,advantage fork opening short,https://lichess.org/pihvNILI#16,Four_Knights_Game Four_Knights_Game_Scotch_Variation,2412335
6oe9K,r1b1kb1r/pp3ppp/2n1p3/q2p4/3P1B2/P3PN2/1P1n1PPP/R2QKB1R w KQkq - 0 10,d1d2 f8b4 a3b4 a5a1,1371,75,97,13793,advantage opening pin short,https://lichess.org/PJne79XV#18,Trompowsky_Attack Trompowsky_Attack_Other_variations,1337921
kga2R,8/ppkb3R/4p3/2N1P3/1r3P2/3p4/8/4K3 b - - 1 36,b4d4 c5e6 c7b6 e6d4,1386,73,96,20673,crushing endgame pin short,https://lichess.org/bAbKIvl7/black#71,,1984608
DMve8,5k2/pp5r/2p5/P1P2p2/3PpPp1/4P3/1R4KP/8 b - - 0 41,f8e8 a5a6 b7b5 c5b6,1490,75,95,23254,crushing enPassant endgame rookEndgame short,https://lichess.org/yrvxUloe/black#81,,2209130
ERikj,2b2Rk1/6rp/2p5/4p2Q/Pq1pP3/3P4/1P4PP/3R2K1 b - - 0 31,g8f8 d1f1 f8e7 h5e5 e7d8 e5g7,1536,74,95,15606,crushing endgame exposedKing fork long,https://lichess.org/uzVKVFjz/black#61,,1482570
rNqrs,r6k/1pb1nrNp/p2q2PB/5p2/3Pp3/2P4Q/PP3P2/R4KR1 b - - 0 32,f7g7 h6g7 h8g7 h3h7 g7f6 h7f7,1218,77,95,16678,attraction discoveredAttack kingsideAttack long mate mateIn3 middlegame,https://lichess.org/7knOJJk9/black#63,,1584410
fsYOv,6k1/pb3ppp/1p6/2p1Q3/B1P2qP1/P4P1P/1P4r1/4R1K1 w - - 1 31,g1g2 f4f3 g2h2 f3f2,1161,77,95,14554,endgame mate mateIn2 short,https://lichess.org/2kNnWoZi#60,,1382630
5HdYt,rn1qkbnr/1b2pppp/p1p5/1p2N3/P1pP4/4PQ2/1P3PPP/RNB1KB1R b KQkq - 1 7,f7f6 f3h5 g7g6 e5g6 h7g6 h5h8,1371,74,96,18467,advantage long opening trappedPiece,https://lichess.org/eZdj8WGz/black#13,Queens_Gambit_Accepted Queens_Gambit_Accepted_Slav_Gambit,1772832
wq5dk,2r2B1k/1Q4Rp/5p2/5q2/P7/6P1/2r2PP1/5bK1 b - - 2 30,f1e2 g7g8 h8g8 b7g7,1623,73,96,17300,attraction mate mateIn2 middlegame sacrifice short,https://lichess.org/d1QcVWmt/black#59,,1660800
SJAlP,6k1/2r1qrp1/2Bp2RP/p2Ppp2/1p6/1P1n1P2/PP4Q1/1K4R1 w - - 5 29,h6g7 d3f4 g2h1 f4g6 g1g6 f7g7,1518,75,96,15198,advantage fork long middlegame,https://lichess.org/d21MlxcU#56,,1459008
8bnHU,r1b1kq1r/1pp2p2/p2ppQ2/6Rp/P1PPP3/2N1P3/1P1K4/7R b kq - 5 22,f8h6 g5g8 h8g8 f6h6,1704,76,97,20299,crushing deflection middlegame short,https://lichess.org/lCnYm7Sg/black#43,,1969003
NyqzC,5r2/1b3pk1/p5p1/1p1p2Q1/1P2p1N1/P3P2P/3q1PPK/R1r5 b - - 1 33,c1a1 g5h6 g7g8 g4f6,1338,80,97,13988,endgame mate mateIn2 short,https://lichess.org/Tgg7OFNC/black#65,,1356836
25vpI,r6k/P4r1p/BP4p1/2p5/8/1PnP2P1/3b2KP/R7 b - - 4 38,f7f8 a6b7 a8a7 b6a7,1689,75,96,13042,advancedPawn advantage endgame short,https://lichess.org/0A4e5IOa/black#75,,1252032
Huc4H,8/1p3p1k/p5pq/2p1Q1K1/2P2P2/1P1P2P1/P7/8 w - - 2 45,g5f6 h6g7 f6e7 f7f6 e7d6 f6e5,1597,76,96,15612,crushing discoveredAttack endgame long queenEndgame,https://lichess.org/5LSi0xOj#88,,1498752
3Fqz4,r4rk1/1pqb1ppp/p2bp3/2p1N3/4R3/1P1P4/PBP2PPP/R2Q2K1 w - - 3 16,d1g4 f7f5 g4h4 f5e4,1581,74,95,20702,crushing fork middlegame short,https://lichess.org/fBI4m832#30,Sicilian_Defense Sicilian_Defense_Old_Sicilian,1966690
A531V,1rr4k/7p/6p1/1p1p4/pn6/4P3/PqBQ1PPP/1RR3K1 b - - 3 28,c8c2 b1b2 c2d2 b2d2,1662,77,95,15671,advantage middlegame short,https://lichess.org/N8yUw7IX/black#55,,1488745
ZvgVB,6k1/1N3pp1/4pq1p/3n4/8/5P2/6PP/r1R1Q2K b - - 3 40,a1a2 c1c8 g8h7 e1b1 f6g6 b1a2,1524,76,96,14766,advantage endgame fork long,https://lichess.org/0HXGZ4ES/black#79,,1417536
DmENw,2k1r1nr/1p1nbp1p/pBp3q1/4p1p1/6B1/2NP3P/PPPQ1PP1/R4RK1 w - - 6 16,c3e4 f7f5 g4f5 g6f5,1406,73,95,25067,advantage fork middlegame short,https://lichess.org/y4PhmI84#30,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation,2381365
L0aNQ,6k1/p3ppb1/2pp4/6PQ/4P3/2P1q3/Pr4P1/1K3B1R w - - 0 25,b1b2 e3c3 b2b1 c3b2,1234,74,96,15726,endgame mate mateIn2 short,https://lichess.org/13Zkt0xd#48,,1509696
pdKad,2kr3r/ppp2pp1/2nb3p/4p3/3PR3/2P3Bq/PP3P1P/RN1Q2K1 b - - 4 15,f7f5 e4h4 h3h4 g3h4,1361,75,95,14022,advantage middlegame short trappedPiece,https://lichess.org/QC8zsVUr/black#29,Ponziani_Opening Ponziani_Opening_Other_variations,1332090
rwgZI,8/1pp2p2/p4P2/2k1p1p1/P3P1P1/5P2/5K2/8 b - - 1 30,c5b4 f3f4 e5f4 e4e5,1815,73,96,13106,crushing defensiveMove endgame pawnEndgame short,https://lichess.org/2J5GgQhM/black#59,,1258176
SJyp9,1r5k/2Q3p1/4p1P1/1N2r2p/7q/1R6/2P5/1K4R1 b - - 3 34,e5b5 c7b8 b5b8 b3b8 h4d8 b8d8,1422,76,95,17455,endgame long mate mateIn3 xRayAttack,https://lichess.org/eAiwBsx3/black#67,,1658225
LL5st,8/4PK2/3k4/p1pBn3/2P5/8/8/8 w - - 3 64,f7f8 e5g6 f8f7 g6e7,1391,78,97,19107,crushing endgame short,https://lichess.org/UM5oNjIu#126,,1853379
2wc5B,6k1/8/5B1p/4p3/p3P1P1/1p1n1N2/P7/6K1 w - - 0 41,f3e5 b3b2 e5d3 b2b1q,1632,73,97,19497,advancedPawn crushing endgame promotion short,https://lichess.org/8CydcDGh#80,,1891209
wdDwr,5r1k/5p1p/1R4p1/8/P3B3/1Q6/1P1q1PPP/2rR2K1 w - - 3 39,b6d6 d2e1 d1e1 c1e1,1713,75,96,17202,backRankMate mate mateIn2 middlegame sacrifice short xRayAttack,https://lichess.org/MI8HcZsx#76,,1651392
mQON9,2kr1bnr/pppbq1pp/2n5/1B2p3/5P2/2N1BN2/PPP3PP/R2Q1RK1 w - - 0 11,f3e5 c6e5 f4e5 d7b5 d1g4 b5d7,1550,75,94,14926,advantage discoveredAttack long opening,https://lichess.org/K4J4bnJX#20,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation,1403044
UyJtQ,r3r1k1/pp3ppp/8/3pqb2/8/2P5/P2QBPPP/R3R1K1 b - - 3 20,a8c8 e2b5 e5e1 a1e1 e8e1 d2e1,1411,75,95,14237,advantage long middlegame,https://lichess.org/ZBgP1AJ8/black#39,,1352515
XJYS0,3rr1k1/1p3p1p/p5p1/2p5/P7/1PNP1bP1/3R1P1P/R4K2 w - - 0 23,a1e1 f3g2 f1g2 e8e1,1334,75,96,26965,advantage deflection endgame short,https://lichess.org/AmexbJ4M#44,,2588640
d0ogO,r1bqk2r/ppp2ppp/8/2p1P3/8/3PK3/PPP3PP/RN1Q1B1R w kq - 0 10,d1f3 d8d4 e3d2 d4b2 b1c3 b2a1,1477,76,95,17573,advantage long middlegame trappedPiece,https://lichess.org/3ZxaiGMQ#18,Russian_Game Russian_Game_Stafford_Gambit,1669435
ELUs6,8/p1R3p1/4rk1p/3Q1p2/P2Pp2P/4P3/3K1P2/7q b - - 12 42,h1h4 d5d8 f6g6 d8h4,1380,76,96,22095,crushing endgame master short skewer,https://lichess.org/a1l0HA8Q/black#83,,2121120
K4xB0,3r4/Q2Pk2p/6p1/2p2p2/8/4P1P1/P1q2P1P/3R2K1 w - - 1 30,d1d5 c2b1 g1g2 b1e4,1542,72,94,14324,crushing endgame short,https://lichess.org/AmEhGUJv#58,,1346456
3P3uD,2k5/1pp1q1p1/p3p3/3p1pNb/3P1P2/nPP3P1/P4Q2/R3K3 w Q - 1 27,g5f3 h5f3 f2f3 a3c2 e1f2 c2a1,1204,74,94,16521,crushing endgame exposedKing fork long,https://lichess.org/brsoMU8L#52,,1552974
rWbfh,rn2kbnr/pp1b1ppp/8/3qp3/1Q6/5N2/PP1P1PPP/RNB1KB1R w KQkq - 0 8,f1c4 d5e4 e1f1 f8b4,1639,78,96,26877,crushing opening short,https://lichess.org/x5OERkUK#14,Caro-Kann_Defense Caro-Kann_Defense_Other_variations,2580192
49vxy,rnb2rk1/pp3ppp/2p5/8/2q1B1nQ/2N1P3/PP1P3P/R1B1R1K1 b - - 0 16,g4f6 e4h7 f6h7 h4c4,1236,75,97,21072,crushing discoveredAttack opening short,https://lichess.org/EuQ8G0ii/black#31,Grob_Opening Grob_Opening_Spike,2043984
vbKrI,8/ppb3k1/6p1/3pNp2/3P1P1q/P3P3/1P4Rr/5KQ1 b - - 5 39,h2h1 g2g6 g7f8 g6g8 f8e7 e5g6,1337,74,95,25436,crushing endgame long,https://lichess.org/E9ADnm7i/black#77,,2416420
xQ0jN,8/1RN5/6kp/4p3/6p1/3Pb1P1/5r1P/7K w - - 0 52,c7d5 f2f1 h1g2 f1g1,1257,76,96,14162,endgame mate mateIn2 short,https://lichess.org/6ERTfxns#102,,1359552
7p7Hf,3nr1k1/ppp2p2/5B1p/3P1PRQ/7r/P3P2P/6PK/4q3 b - - 0 30,h6g5 h5g5 g8h7 g5g7,1404,75,96,18391,endgame mate mateIn2 short,https://lichess.org/FWHlTXlR/black#59,,1765536
m2aeI,1r4k1/3bpp1p/p2p2p1/3P4/qr2P1P1/5P2/PP1QB2P/K2R3R w - - 5 26,d1b1 a4a2 a1a2 b4a4,1269,73,95,18428,attraction mate mateIn2 middlegame sacrifice short,https://lichess.org/8Q9vtDbR#50,,1750660
i8mhc,8/8/5p2/5P1R/3P1kPp/3r3P/7K/8 w - - 8 45,h5h4 d3d2 h2g1 f4g3 g1f1 g3h4,1630,77,95,17127,crushing endgame long rookEndgame,https://lichess.org/9bPCkpT6#88,,1627065
FPeqc,r1bqkb1r/pppp1pp1/7p/8/2B1P1Q1/2pP4/PPP2PPP/R1B2RK1 w kq - 0 9,b2c3 d7d5 c4b5 c7c6 g4e2 c6b5,1410,73,95,14485,advantage defensiveMove long middlegame,https://lichess.org/eR0ApLcx#16,Italian_Game Italian_Game_Anti-Fried_Liver_Defense,1376075
lPNnp,r3kb1r/1p1b1ppp/p1n1p3/1B1pP3/3q4/2N5/PP2QPPP/R1BR2K1 b kq - 5 13,d4e5 b5c6 e5e2 c6d7 e8d7 c3e2,1450,73,97,14632,advantage long opening sacrifice,https://lichess.org/gG6v59Tq/black#25,French_Defense French_Defense_Advance_Variation,1419304
jNeJs,r4rk1/pp2Rppp/3n4/3P4/P2p4/3P1QP1/1q3PBP/4R1K1 b - - 1 21,f8e8 f3f7 d6f7 e7e8 a8e8 e1e8,1586,78,96,21017,backRankMate deflection long mate mateIn3 middlegame sacrifice,https://lichess.org/XfREMsx6/black#41,,2017632
N3lKA,8/p2k4/1p3P1p/2pPr1p1/6P1/1P3K2/P7/3R4 w - - 1 36,d5d6 e5e6 f6f7 e6f6 f3e4 f6f7,1616,74,96,13869,advantage endgame long rookEndgame,https://lichess.org/5qM7uxjN#70,,1331424
ownAs,r4r2/2n1pk1p/1p1p1n2/qPpP1pQ1/2B1P1P1/pPN5/P1K5/3R3R w - - 2 27,e4f5 a5c3 c2c3 f6e4 c3d3 e4g5,1650,74,95,18474,attraction crushing fork long middlegame sacrifice,https://lichess.org/KkTe7T7w#52,,1755030
ag7rF,6k1/1pR2r1p/5pp1/1R1Np3/4PP1P/3P2PK/r3n3/8 w - - 1 33,c7f7 e2g1 h3g4 h7h5,1629,77,96,16793,endgame mate mateIn2 short,https://lichess.org/cm18G39u#64,,1612128
m8P8S,8/8/p1k5/1p5p/3B4/1R1n2P1/P2r1P1P/6K1 w - - 3 35,a2a4 d2d1 g1g2 d3e1 g2h3 d1d4 a4b5 a6b5,2010,80,90,148093,advantage discoveredAttack endgame veryLong,https://lichess.org/wrDSSj2f#68,,13328370
DPbnY,rn3rk1/ppp3p1/7p/3Np1q1/4n3/4P2P/PPP1BP2/RN1Q1RK1 w - - 1 14,g1h2 f8f2 f1f2 g5g3 h2h1 e4f2,1831,75,95,14415,attraction fork intermezzo long mate mateIn3 opening sacrifice,https://lichess.org/2rweTPWP#26,Horwitz_Defense Horwitz_Defense_Other_variations,1369425
csSfA,r1q1kb1r/1b3p1p/pp3n2/1N2Q3/3p4/3P3P/PPP2PP1/R3KB1R b KQkq - 0 15,f8e7 b5d6 e8f8 d6c8,1139,81,94,13008,crushing fork opening short,https://lichess.org/L5uiWOyM/black#29,Caro-Kann_Defense Caro-Kann_Defense_Other_variations,1222752
sklXS,r3kb1r/pp1n1ppp/2p1p3/q2p1b2/2PPnB2/P1NBP3/1PQ1NPPP/R3K2R b KQkq - 2 9,d5c4 d3e4 f5e4 c2e4,1338,76,97,16887,advantage middlegame short,https://lichess.org/oOVRUYzT/black#17,Queens_Pawn_Game Queens_Pawn_Game_Other_variations,1638039
